Agglomération,Echantillon,A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Aarau,729,0.04656094572511367,0.014634043935631598,0.03823088679129176,0.013318324379261875,0.007633747546738282,0.006045216785255633,0.5251829020112724,0.03468370258471749,0.027127258389577538,0.011283347385468415,0.32504537882032114,0.03253241285131028,0.030218880715685226,0.011890032423706832
Agglomération Bulle,492,0.047576156624434665,0.017996912677940596,0.011866665875611939,0.009155041862431027,0.006172821750997499,0.00662194401954367,0.7734341519183591,0.03539134744813946,0.008280541142130764,0.007661467775768476,0.11100315798774293,0.026558648953747144,0.04166650470072321,0.016894294914035102
Agglomération Locarno (CH),520,0.07192989967753992,0.021247811247551592,0.018725926267976457,0.011147716064403644,0.013128212745121113,0.009360569055356701,0.756140296020125,0.03531346185152845,0.027473105547599127,0.013442305746480226,0.11080273195920354,0.025813290915077166,0.001799827782434797,0.0034857270585236
Agglomération Solothurn,878,0.044630957517424706,0.01306854326679848,0.032848723550716726,0.011280541548296818,0.0029219105439400868,0.0034160289289891623,0.6698622886623499,0.029762117590512786,0.023924250034379497,0.009671290388397834,0.22025787491316692,0.026227972323887915,0.005553994778022291,0.004703453263542167
Agglomération Neuchâtel,1320,0.04753030894847797,0.010982335047853896,0.016700038983437714,0.006614325166935902,0.012974643243884173,0.0058411136389561365,0.704027297504334,0.02356157762033067,0.03850187534990264,0.00993113648716042,0.15801134941164743,0.01882699675600138,0.02225448655831619,0.007613870631895514
Agglomération Bern,1490,0.05315226954156966,0.010898797846269945,0.037604285955366926,0.009242152553100031,0.009474050469856218,0.004706286862011899,0.5469012103973195,0.024184021078797933,0.050233845157615094,0.010611680738024208,0.29110189393437497,0.022069477077804062,0.01153244454389771,0.005187039035960215
Agglomération Arbon - Rorschach,527,0.04383371804059846,0.016723851911731973,0.028004879950484566,0.013477655334991102,0.0083215800241745,0.007420852069786729,0.7558559053853873,0.03509199535960883,0.02634084848092265,0.013082290877284257,0.11855451129302189,0.026407191689911423,0.01908855682541083,0.011178071779360706
Agglomération Luzern,1768,0.06238474911048567,0.010786515480723789,0.03144359573601582,0.007783199882645111,0.00825252210834041,0.004034814044525405,0.6111551981832428,0.021741701410554724,0.05200401937350267,0.009902647660551886,0.20771176746303757,0.018092633120099018,0.02704814802537507,0.007235092119613804
Agglomération Martigny,250,0.04870434004201215,0.02552950172157865,0.005937498479953074,0.009111908515618796,0.006318941881518551,0.009398237924843268,0.70027102512347,0.05433731717806926,0.00543710507995151,0.008721691858911704,0.22732036510179965,0.04970724058844106,0.006010724291294984,0.009167586205505871
Agglomération Biel/Bienne,576,0.05842082785240796,0.0183261732098209,0.03751582762497386,0.014847850155735833,0.002520112391919482,0.00391761307696731,0.5414678541098792,0.03893415424130053,0.02675587375079786,0.012608980602055859,0.31924388313777263,0.0364264275238291,0.014075621132249078,0.00920481573252874
Agglomération La Chaux-de-Fonds - Le Locle (CH),1068,0.06080781629395785,0.013713302804331398,0.010196575917019135,0.005764833675484973,0.0064525043725252446,0.004594556511058278,0.7575929689004312,0.02459097233617972,0.02358707126041777,0.00870841059456686,0.13565798067613097,0.019649459765006427,0.0057050825795180145,0.0043218899545534
Agglomération Schaffhausen (CH),667,0.04765950181347964,0.015469586754302222,0.01647931431180771,0.009244196202128414,0.006064211414852896,0.005637339206402258,0.6221443969251652,0.03520597425507415,0.043842697831098294,0.01486692480637888,0.23207913181646522,0.030653785709729393,0.03173074588713111,0.012727586229433525
Agglomération Buchs (SG) (CH),323,0.04488132853710273,0.021603842976193867,0.03749429620862041,0.01982228661353919,0.0069112109691003626,0.008644514501560743,0.7397624453811148,0.04578261734863588,0.02414247647934118,0.01601598333738125,0.14528946781586682,0.03677020801453119,0.001518774608853591,0.00406336754994707
Centre hors des agglomération Porrentruy,62,0.0426079513573422,0.048102222588441566,0.013479747751159609,0.027464316428660273,0.0,0.0,0.6972354999228566,0.10942514488362673,0.005994216318436482,0.018383812011945482,0.2404976256980667,0.10178759974796976,0.00018495895213815745,0.003238712667920926
Agglomération Lausanne,2553,0.05427261625385471,0.008408503458943955,0.009418529661628846,0.0035849409052005755,0.023455185682753007,0.005617083411017089,0.6651658363732509,0.017515607129320862,0.04309302430474742,0.007536742781142228,0.19190373956488688,0.014615666125814514,0.012691068158878353,0.004154521085245526
Agglomération Altdorf (UR),267,0.06276474377658203,0.027835390070935787,0.04022824505722871,0.02255093997289988,0.01157082563563735,0.01227354658256419,0.5651339466823634,0.05689427585401164,0.08385676167710768,0.03181016023792504,0.20021004134494838,0.04592466787964608,0.036235435826132464,0.02144703915093345
Agglomération Rapperswil-Jona - Rüti,581,0.05315176251034934,0.017453467036917896,0.0369485546775809,0.014675947802820942,0.004684918318537904,0.00531268408342101,0.4798573696353498,0.03886869832277632,0.03966381045972388,0.01518418729495361,0.3617712474485903,0.037384182994373474,0.02392233694986793,0.011888489435306106
Agglomération Fribourg,1130,0.04785598862280176,0.011908333757274276,0.00995753053196422,0.005539037018360456,0.010789087365849376,0.005763261640982187,0.6467698254125911,0.0266646142273222,0.035871993267631554,0.010374726007035377,0.22365914779875623,0.023246152618736582,0.02509642700040569,0.00872606232210477
Agglomération Thun,463,0.04634951182794299,0.018323036975333343,0.03878990252146745,0.016828630094649046,0.037488643150337106,0.016555147343163584,0.5836895523621659,0.04296154319657766,0.0299195491578794,0.01484778454880009,0.25267302205548675,0.03787171964161165,0.011089818924720342,0.009126849930989904
Centre hors des agglomération Burgdorf,172,0.059349743394244946,0.03378547600568789,0.042191512375277705,0.028744742158525047,0.035529135446459,0.02646935790779846,0.44913628645658243,0.07112424754608566,0.016169337579359885,0.018034861903412597,0.39526160796501464,0.06990892389641834,0.0023623767830613413,0.0069417268815708
Centre hors des agglomération Stans,222,0.041977327701869405,0.025240011811183544,0.033733207075205454,0.022723310866140992,0.03843331342806992,0.024195682925702264,0.6505140940146854,0.06001191075367082,0.02225070524074652,0.018564357038222942,0.20851337569283715,0.0511308504110785,0.004577976846586275,0.008496394807513147
Agglomération Chiasso - Mendrisio (CH),568,0.043098110401312534,0.01597936093497518,0.016650872111131313,0.01006859673232968,0.03332182891559535,0.014122186961769667,0.6556015496053528,0.037389285487073966,0.04370382276979373,0.01608616461930884,0.20152195428228542,0.03156379824019757,0.006101861914528855,0.006127717171063121
Centre hors des agglomération Schwyz,197,0.0696995200270659,0.03402233815172369,0.026435696262329524,0.021434597767517414,0.03594385432370983,0.024871451245236903,0.6428061273908678,0.0640220600845056,0.03320840737696023,0.023940217795908648,0.1758420494185447,0.050863265043846674,0.016064345200521954,0.01679780377453272
Centre hors des agglomération Lyss,48,0.034864528107089676,0.04965193400310758,0.017358025595627206,0.03535069470435716,0.011625822826148748,0.029015007031115,0.6980375686786611,0.12426991185395186,0.011322670711671447,0.02863860513017809,0.2267913840808017,0.1133474497087184,0.0,0.0
Agglomération Grenchen,365,0.05147263723010699,0.021688896852566752,0.021855171085963743,0.014351688790600723,0.017893240475234325,0.013012123326720868,0.7336450630297734,0.04339080391978741,0.014733289323221623,0.01182635972251678,0.15680310504042633,0.03569161090926547,0.003597493815273554,0.005876811420770819
