Agglomération,Echantillon,A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Communes multi-orientée,3647,0.03702096868835451,0.005863206314163186,0.017827547532013852,0.004109060616865304,0.022154964458376305,0.004570602137541263,0.7467931301834498,0.01350332658062483,0.026441047543787177,0.0049822248995755975,0.12555134789794586,0.01028917889132127,0.024210993696072478,0.0047729528008386025
Communes-centres hors agglomération,2407,0.04710817623941323,0.008098463969320499,0.022513167064119943,0.005670305571641931,0.010936285119651454,0.003975390131762174,0.6462650234283964,0.01827582692435282,0.019977093164535508,0.005348314894360075,0.23958518373155413,0.016315033588117162,0.013615071252329462,0.004429613985551654
ECU: Espace sous influence des centres urbains,12470,0.041497785601401535,0.0033492421523683893,0.0202062053268686,0.0023629103798696416,0.018357012922910046,0.0022543187220918103,0.7176288262788268,0.007559579595851413,0.03306095939358693,0.0030025814741430476,0.14414063326350782,0.005898369073336882,0.02510857721289831,0.0026274030732889118
ECU: Espace des centres urbains,37214,0.060000421020820906,0.002308652435692419,0.027835850371725698,0.0015991515540327392,0.01344718717714217,0.0011196788418337178,0.5910652273518459,0.00477927810488808,0.047935714436914495,0.002076731336635315,0.24316478479897327,0.0041703123378341875,0.016550814842577567,0.0012402328476188449
TC9: Commune urbaine d'une grande agglomération,13929,0.06797498092099553,0.003999439365276642,0.029956903760347462,0.0027086616636472177,0.015763489774636905,0.0019791864303116595,0.5377086199624536,0.007922133954318143,0.0702631384405769,0.004061201908790745,0.2601154546517954,0.006970691144773104,0.018217412489194326,0.00212501398773729
TC9: Commune urbaine d'une agglomération moyenne,14779,0.05604022259110258,0.0035479288298984686,0.027167190405983643,0.0025077815153699166,0.011506477385695888,0.0016451531641791207,0.6285421852882012,0.007453670570496582,0.03573321400467431,0.0028634056208120947,0.2269123586369963,0.006460879919850804,0.014098351687346071,0.0018186502866431944
TC9: Commune urbaine d'une petite ou hors agglomération,8579,0.048661642808805666,0.004356255128596862,0.023951016414305408,0.003095638224808607,0.011637661270236032,0.002171417682301615,0.647574731280506,0.009672325125934543,0.018771414032614866,0.002747805636810129,0.23208551699595092,0.008547377176695849,0.017318017197581075,0.0026412408146304937
TC9: Commune périurbaine de forte densité,3547,0.04346305224517815,0.006420238259541252,0.020047278832849336,0.00441337099482462,0.007616909064281016,0.0027375951490800814,0.705750670135332,0.014349063258519531,0.029585712847784173,0.005335311360174935,0.16996934973879047,0.01182694373442994,0.023567027135784888,0.004776543955073262
TC9: Commune périurbaine de moyenne densité,6169,0.04226821422085589,0.00480388131385564,0.02248266865059487,0.003539562061697335,0.016523974316632273,0.003043704685853759,0.720699688905807,0.010712140137017698,0.03147703253173494,0.0041688399493129595,0.14059892529456045,0.008299507376176875,0.025949496079814723,0.00379593328104377
TC9: Commune périurbaine de faible densité,2791,0.03693455667143523,0.006694762588292756,0.016055528883000825,0.004461577469292543,0.0349918467361802,0.006522885549496232,0.7315421223140575,0.01573071926570806,0.03960845427762422,0.006923232980488831,0.11642218266070001,0.011384949432897211,0.02444530845700204,0.005481689184729627
TC9: Commune d'un centre rural,2014,0.047122075111310696,0.008854659330716767,0.02004065907463287,0.005855999743023543,0.014634177531249485,0.005017922245397916,0.7113485475087508,0.01893516607948427,0.02625189676098392,0.006681049303826156,0.1640956711686731,0.015476326022022539,0.01650697284439919,0.0053242738074463156
TC9: Commune rurale en situation centrale,3743,0.03602361515174105,0.005711993238048321,0.02004541435625488,0.004296069848209455,0.012532999637667755,0.0034099628624610716,0.7507543786084555,0.013259390031081897,0.02285620152647622,0.004580808203405531,0.14002205189225883,0.010636597278619618,0.017765338827145784,0.004049069351005256
TC9: Commune rurale périphérique,1539,0.04341100963509613,0.00974123624667685,0.007282958029280489,0.004064602557012159,0.010370024733259644,0.004842590664633642,0.6987202127715255,0.021932497832022422,0.03107934461765052,0.00829528815671719,0.1936242195605188,0.018888610947762938,0.015512230652668962,0.00590736401438798
