Agglomération;Echantillon;Total;Total (+/-);A pied;A pied (+/-);Vélo (incl. vélo électrique);Vélo (incl. vélo électrique) (+/-);Deux-roues motorisé;Deux-roues motorisé (+/-);Voiture;Voiture (+/-);Transports publics routiers;Transports publics routiers (+/-);Train;Train (+/-);Autres;Autres (+/-)
Centre hors des agglomération Schönenwerd;122;32.72552993913371;7.85685511564873;1.339469893963252;0.37860728382744235;0.6694928631720831;0.40520120754473676;0.12952984384141092;0.24594864630757798;21.667466547981768;5.537441308336131;1.47324762483893;0.8167197430472593;5.875806956924969;4.425538663092473;1.5705162084112945;2.613438933405325
Centre hors des agglomération Reinach (AG);62;42.240080050321666;20.992083521020795;1.4109414605265402;0.6786521347724475;0.4925204482071327;0.4615328421058578;1.3281894075128693;3.2124174741929297;19.938896001982798;8.906998031439475;1.6886850993342841;1.7784583635221014;17.38084763275804;19.179481587698337;0.0;0.0
Centre hors des agglomération Einsiedeln;135;38.31606797344565;8.377111043745517;2.115288448033911;0.5293782721382441;0.6175386649227727;0.458558455403973;0.0;-;25.398705588317483;6.659493030290784;1.8105566928794592;2.7364717609084592;7.0071351050156565;4.47835781306079;1.366843474276364;2.609712372165531
Centre hors des agglomération Sarnen;170;41.52246478391131;7.533550206382128;2.151013499000856;0.5146286724299072;0.6689783786286264;0.289320769526771;0.2382950106031794;0.37838242332823807;28.150058280213205;6.83157474958767;0.8909286151939055;0.47098675552375535;8.838299184491715;4.11693224039111;0.5848918157798191;0.5689291790162743
Agglomération Lenzburg;335;39.34062673794721;5.311326587713571;1.7206819064673813;0.26105745747933484;1.3621552262253698;0.5206211760742879;0.02396699599853909;0.05376926105012518;22.159238171505102;4.147141292089867;0.6914970260206973;0.22324115381151768;13.14516038900874;3.892916809897197;0.23792702272138994;0.17990980499148126
Centre hors des agglomération Aigle;91;31.31610211598287;10.100339633336668;2.7763037887213877;1.1754010298787192;0.49553665975310685;0.7322709985374315;0.14353569244242034;0.24232020211171917;20.470660470013044;8.956302434655228;0.23790225505055054;0.2523522948428137;6.819216415795376;4.093193501527756;0.37294683420698105;0.5964783353673608
Centre hors des agglomération Flawil;47;28.685941584424572;18.89041207828804;1.6337423535468836;0.5033922064769651;1.3485110284322295;2.1150091335026433;0.0;-;12.785481441568145;5.966358766159819;0.36092329991067335;0.43668187800997166;12.505800604546238;18.226251316343635;0.05148285642040614;0.09643486053686878
Centre hors des agglomération Payerne;60;30.065017984414204;10.636139369319125;2.0666143397465406;0.9582132690422671;0.6741232781988672;1.3425109414649103;0.0;-;24.940952025966947;10.14924519132524;0.0699964408113258;0.1248388982356684;2.2732880169762044;3.8684346162280536;0.040043882714321584;0.09368904633880676
Centre hors des agglomération Kirchberg (BE);73;33.59608053432989;11.002227786223001;1.6838960193866823;0.6398538424455306;0.8350357927684608;0.5654316725345016;0.0;-;27.38298400748578;10.57012145030978;0.21436226324821658;0.22746738138337116;3.479802451440754;4.269040326033368;0.0;0.0
Centre hors des agglomération Sursee;126;54.57204666077114;11.375015539135882;1.616792593740039;0.46794429408807514;1.6424783720369667;1.492311025519605;0.14328430812909967;0.2525902659868699;37.78818128528115;10.267325614089499;0.5277785276429164;0.3549558319275955;12.803959565419369;6.491910004988403;0.04957200852160007;0.05650417481561719
Centre hors des agglomération Wattwil;35;31.918713518508934;11.222110101513882;1.5663652129058347;0.6609495028176562;0.355643909847351;0.41055584741064005;0.26326702626560744;0.6100370522258658;22.297799916185273;10.81166687155726;1.3490086995185828;1.2480942544937128;6.039506409865915;6.253518691626428;0.04712234392037724;0.11404532941875857
Centre hors des agglomération Spiez;81;43.56117994206352;13.455515993038391;2.0866461262798204;0.5969393661958896;1.4547929680923954;1.0675526054822413;0.06971966244370992;0.09616600285628349;24.458875787631968;10.927238997354562;1.4247913632016946;1.0410934063434558;14.066354034413934;9.183332761461166;0.0;0.0
Agglomération Monthey;186;42.04114456484053;7.954286025998511;1.618749865165742;0.4380472836103526;0.9692044680950019;0.9437358638886841;0.13206715454529977;0.26364563859985957;32.02628315910923;7.0765520814415925;0.17472058043075336;0.1822963465067267;5.314872460766337;3.534051570737422;1.8052468767281704;1.85111575609566
Agglomération Kreuzlingen (CH);454;29.306539301646303;4.36920150139488;1.628137246925628;0.2916204993345091;0.8906296694671249;0.3296445817417271;0.1914441181648904;0.18719542820014312;20.638696822985857;3.788690802920743;0.46546928088579526;0.2863274565323511;5.4051525876125535;2.391557285898052;0.0870095756044585;0.08436236134872585
Centre hors des agglomération Oensingen;37;35.87000465960039;16.247440350518186;1.139010252343152;0.614774279427821;0.47904579186543284;0.9846462581694375;0.43470522395621963;1.0441416869051185;33.05990178502366;16.305628336196893;0.3768896970881699;0.829900631793136;0.3804519093237515;0.4946489906173532;0.0;0.0
Centre hors des agglomération Döttingen-Böttstein;36;40.915343029981194;17.141301014815067;2.5050943646048287;1.3911216772928532;1.9161312751831767;2.2700728735935978;0.0;-;27.038410669288286;16.69387621713355;0.13290553162505175;0.21843911631502397;8.600417704046286;6.242602336930003;0.7223834852335695;1.0770785537208447
Centre hors des agglomération Weinfelden;63;41.70040085765915;13.829713693129506;1.6178589216792663;0.5369862043471931;0.547601329796461;0.4026472158684341;0.01807090113649369;0.03744633621885581;26.73399955275931;12.234080556007925;0.03407136753511992;0.0498010375303948;12.439754818878352;8.37422708531792;0.30904396587413996;0.4374224641458232
Centre hors des agglomération Arth;107;43.491333872878855;9.099625678705703;1.4841503713031508;0.4104432238444619;0.2643837896788997;0.19851332261160695;0.014759838271477008;0.03800918482533224;32.106482720032666;9.15520235810185;1.253102706490202;0.8577312775621271;8.29318919916826;3.8689837264299287;0.07526524793418916;0.10192481665136537
Centre hors des agglomération Zermatt;16;40.722212556649936;34.08245859012891;3.2888216699230957;1.7657032587401393;0.0;-;0.0;-;28.122260740294575;33.715391771366164;0.1840520407690492;0.28475996347651494;7.712801339289963;9.843905791175533;1.414276766373251;2.2905280926920972
Centre hors des agglomération Langenthal;68;40.11342195410382;12.147154514325143;1.669723551032977;0.7022754927655772;0.8162754280192421;0.5937747278033665;0.08974003390061563;0.17289432672431726;22.91968584030301;10.414472327848241;0.7310048553924421;0.8184359827383827;13.68248623844325;7.954650000287816;0.204506007012286;0.4043281142453824
