Agglomération,Echantillon,Total,Total (+/-),Mobilité douce,Mobilité douce (+/-),Transport individuel motorisé,Transport individuel motorisé (+/-),Transports publics,Transports publics (+/-),Autres,Autres (+/-)
Agglomération Frauenfeld,247,43.231300107222964,9.375090179335675,3.5296369440872635,0.5996097102810335,22.48498396365915,5.282770623121026,16.585224575450034,8.147672515334472,0.6314546240265111,0.7630930827455853
Agglomération Kreuzlingen (CH),244,29.98074786284301,5.9348377569352,2.741830879814626,0.7997657190138462,22.080849180171086,5.0471771805900305,4.769413240772678,3.4386707542307233,0.3886545620846271,0.3352787426511124
Agglomération Luzern,1737,37.21436598468927,2.5991662285583343,3.4170150428759634,0.2500108556201537,22.437518931830283,2.1467581982312693,10.73342065442289,1.5550945770532754,0.6264113555601434,0.4088197537375827
Agglomération Lachen,403,46.96763697348565,5.405203160344871,2.81687117447646,0.5572485148668707,34.28886827034556,4.98565723475607,9.129513020876944,2.8656859945756192,0.7323845077866857,0.7863050460297394
Agglomération Schwyz,288,29.480247944699382,5.1025127849310365,3.079734972278926,0.6681951786265811,17.71572193679597,3.877664671894232,6.378910303573127,2.6273786672787773,2.3058807320513557,2.69170482875116
Agglomération Stans,478,38.786009398286936,4.287695445366936,2.8053513015047407,0.4598215019896342,30.57582595562321,4.118107460974619,4.5469849569412855,1.7116410477772128,0.8578471842176959,0.661531369879515
Agglomération Zug,937,40.02633433123838,3.3679128944624055,3.3301855494377604,0.4215949594726339,26.849555638754282,3.117778589560575,8.815551177739554,1.581031257999591,1.0310419653067866,0.7167403722426057
Agglomération Lugano (CH),588,27.652797653800686,3.506496760932364,1.8942973894343225,0.2209262671943471,20.739043642781358,2.71073895897417,3.5600384825276223,1.6365787531447813,1.4594181390573824,1.7420679974741369
Agglomération Bellinzona,630,32.77371773508257,3.8446881513406366,2.1223969617536067,0.4144327117416233,27.360847146431002,3.6097914963574165,3.0426565967321353,1.38791551430395,0.24781703016582404,0.1920248308805768
Agglomération Locarno,580,24.79499778724295,2.995050036951061,2.7983230659889777,0.4545410312752834,19.23213881830002,2.7582512524419838,2.709030850264278,1.3987887041495533,0.055505052689669994,0.04711987629384308
Agglomération Chiasso-Mendrisio (CH),604,26.859623179476355,4.322721996778093,1.7697989566462544,0.30166038060312367,20.828993583769964,3.8387684405344253,3.3535937015761,1.4722652132042657,0.9072369374840321,1.3402316076308534
