Agglomération,Echantillon,A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Bern,3082,0.06137755915248783,0.008107831413504539,0.028746983089222244,0.005644386748561984,0.009622576944974958,0.0032976191647987024,0.5746762462230132,0.016700361752765847,0.05405192095534756,0.00763824620103013,0.26157602187862633,0.014845892007720358,0.009948691756327952,0.003352480612656513
Agglomération Neuchâtel,823,0.051084166086475,0.014392221585143486,0.013183396525631622,0.0074559453729623896,0.005977931932297535,0.005038999693348644,0.6996940703855766,0.029964489736150207,0.054100679685449175,0.014787496450232177,0.1573932429172804,0.02380544732166233,0.0185665124672896,0.008824019090767264
Agglomération Biel/Bienne,892,0.055406780147480225,0.014364555604353953,0.02960958387104857,0.010643334899375915,0.017040545679472423,0.008126394048590677,0.6229192743573895,0.030431361141068185,0.02818199846120899,0.010391223587167393,0.21747136507447248,0.025902369002454798,0.029370452408927956,0.01060157520501096
Agglomération Burgdorf,367,0.05017080999982325,0.02136909028167297,0.05371621940598111,0.022069939323859724,0.03275076268359204,0.01742278705080243,0.4977174126476383,0.04894442156096435,0.019108854674541174,0.013401871741326546,0.25649711800059327,0.042748442330870454,0.09003882258783093,0.028019737162410643
Agglomération Interlaken,370,0.0603747422507203,0.023220677008735622,0.04937122876214397,0.021120895938444725,0.01139353242869235,0.010346913338846339,0.4489086681897703,0.04849094829668764,0.01047830224884974,0.009927228382223159,0.31879706500978944,0.04543236073837975,0.10067646111003385,0.029335388396220154
Agglomération Thun,886,0.05326930025507018,0.014148344265757713,0.03769142088325478,0.011998648374459069,0.016062119681141514,0.007920254953768082,0.5532052381845954,0.03132211436508451,0.031256066964393155,0.010962902580103117,0.263197317338077,0.02774407316461502,0.04531853669346803,0.013104518760335977
Agglomération Grenchen,246,0.060876768132470824,0.02858842872059611,0.016118831571650446,0.015057098893977362,0.0031029451659400392,0.006649904479036893,0.6786682436349161,0.055835291529231085,0.014376923801637565,0.014232841633151421,0.11679156833637976,0.038400824441742164,0.11006471935700518,0.03742023215244371
Agglomération Bulle,550,0.05965743154847994,0.018939335308367743,0.018927456469690684,0.010896476779832043,0.005833155599201278,0.006089348461939834,0.8486488938079707,0.02865802342565003,0.024459278152010606,0.012351904585472934,0.041710947369698895,0.0159868426071785,0.000762837052947884,0.0022076976102629966
Agglomération Fribourg,1362,0.05387768622739453,0.011472559289752878,0.011106553532631229,0.005325330993512423,0.01289811037177086,0.005733584744967317,0.6629419520648598,0.02401996121644345,0.050238822102917156,0.011099646069299736,0.19593161382616964,0.02016884141699382,0.013005261874256725,0.005757038970753226
Agglomération Olten-Zofingen,885,0.049869537029551055,0.013721715410586982,0.031975642691927555,0.011090519811971074,0.00632211636292462,0.004996353671308342,0.6368820413623079,0.030314644795538505,0.02500758087943548,0.009843183439455852,0.20984874842122603,0.02566890993255717,0.04009433325262738,0.012366730423852427
Agglomération Basel (CH),3240,0.07098331944975085,0.008460346627562976,0.03690362117549989,0.006211087038517594,0.007768747652760952,0.002892545551203908,0.5493753461649983,0.016392315557105294,0.0856990966918201,0.009222123738102776,0.23242472665083483,0.013915534773807895,0.016845142214335116,0.004239811555176472
Agglomération Aarau,882,0.04777671106106377,0.013468337334597761,0.027447421593098698,0.010316770803913487,0.015121874379497727,0.007706026886208557,0.6221064542567084,0.03061635971484903,0.024841998604860457,0.009828046936015973,0.2110791585069948,0.02576771169994405,0.051626381597776196,0.013972111310553781
