Agglomération,Echantillon,Mobilité douce,Mobilité douce (+/-),Transport individuel motorisé,Transport individuel motorisé (+/-),Transports publics,Transports publics (+/-),Autres,Autres (+/-)
Agglomération 3203,1084,0.0788355937530206,0.01534920400164572,0.6351172034560174,0.02741951348948359,0.27585302562489483,0.025457066006947873,0.01019417716606707,0.005721464441698285
Agglomération 3231,603,0.08778680753308803,0.021611001812821298,0.7878540885027038,0.031221396687467942,0.11042021516902398,0.023934747196025896,0.013938888795184207,0.008953195954492467
Agglomération 3271,224,0.07903268259609053,0.03380432087462787,0.7540869889743754,0.0539570530480205,0.09703202068181105,0.03708860145508634,0.06984830774772303,0.03193754865237382
Agglomération 3425,891,0.06721127822419395,0.015730575890584988,0.6401896192341845,0.030152481515625388,0.2644042420712978,0.027706758478648345,0.028194860470323744,0.01039935663751738
Agglomération 3787,243,0.10939019579087635,0.03754918823091007,0.7885888211557301,0.04911983495980984,0.07872644448252937,0.032398301180487685,0.023294538570864182,0.01814581508923108
Agglomération 3901,700,0.08734484219027733,0.020012148740999026,0.649998659928326,0.033807481405279824,0.24204192315419396,0.030359151100700518,0.020614574727202746,0.010071304850786729
Agglomération 4401,865,0.07577199705243985,0.016873556429150036,0.7544031038855101,0.027445798472043974,0.14208079927077047,0.022261457217971972,0.027744099791279484,0.010472209275492422
Agglomération 4566,247,0.08164540356947401,0.03267332622969553,0.5201089004469339,0.0596129710952211,0.38363927372794937,0.05802314783632849,0.014606422255642725,0.014315254270418944
Agglomération 4671,244,0.0914530515502165,0.03460577885558018,0.7365009465803632,0.052887376577772115,0.15908253064906713,0.04391003399203374,0.012963471220353065,0.013580104352434466
Agglomération 1061,1737,0.09181978390500567,0.012993465452309913,0.6029262715657044,0.022016005512411067,0.2884214300154631,0.020384311037065332,0.016832514513826766,0.005788407491768175
Agglomération 1344,403,0.05997472634330424,0.02218054092242177,0.7300530850573225,0.041470057267699305,0.19437880228104243,0.03696648217124772,0.015593386318330946,0.01157379301469415
Agglomération 1372,288,0.10446774321763024,0.033799185368482615,0.6009353099752779,0.05411404799518232,0.216379126645713,0.0455024927795388,0.07821782016137889,0.029671637733965788
Agglomération 1509,478,0.07232894915011918,0.02221825183717046,0.7883210062072963,0.035038639611171415,0.1172326059700824,0.027593332654792517,0.02211743867250196,0.012614428279203425
Agglomération 1711,937,0.0831998634168888,0.016919970422117483,0.6707972660339186,0.0287891151481819,0.2202437801270124,0.025388217381720885,0.025759090422180237,0.00970508628836253
Agglomération 5192,588,0.06850292014392129,0.01953562823309857,0.7499799442509905,0.033488395441302006,0.12874062606964903,0.025900826984610294,0.05277650953543919,0.01729134008082928
Agglomération 5002,630,0.06475911518215373,0.018387076123560456,0.8348411177393716,0.027742996165808963,0.09283831090896132,0.021682354691131948,0.007561456169513193,0.006472245911801493
Agglomération 5113,580,0.11285837127312502,0.024638832517990792,0.7756459179115143,0.03248295274899586,0.10925715233005899,0.02429169766262261,0.002238558485301717,0.0036800552406878353
Agglomération 5250,604,0.06589068449770999,0.01893054623081652,0.7754760163458124,0.03183961731254479,0.12485631980640023,0.025223028444196625,0.03377697935007737,0.013784828862311582
Agglomération de taille K,10884,0.07607859458555803,0.004765684001218582,0.6747401337187724,0.008420928852526453,0.21825565912638317,0.007424917230915845,0.030925612569286335,0.003111818082738854
Agglomération de taille M,17981,0.0800456605025061,0.003795035699138781,0.6469562294965195,0.006683678619936285,0.2485280114210388,0.006043769656307961,0.024470098579935352,0.002160737381432139
Agglomération de taille G,21374,0.08854756945696866,0.0036440403495365628,0.6073698095417285,0.006263921360393992,0.28521090138723904,0.0057916175022053535,0.01887171961406387,0.0017454060856564916
Toutes les agglomérations,50239,0.083530524642744,0.0023148980408287763,0.6321415905837274,0.004034574945664012,0.2615699870110189,0.003677044501001688,0.022757897762509742,0.0012477208033639482
Hors agglomérations,12629,0.0614450979811652,0.004007372685788022,0.7399371026538265,0.007320198749687687,0.17037271868643628,0.006273758704441151,0.02824508067857215,0.0027646238844699004
Ville isolée (commune BFS) 306,75,0.09430042780252032,0.06328328786329859,0.6518986681052524,0.10315327271789324,0.2538009040922273,0.09423539679908619,0.0,0.0
Ville isolée (commune BFS) 329,87,0.09538106213285863,0.05905749775374244,0.5202439438552074,0.10044420293623534,0.36246652062610124,0.09664882419895658,0.02190847338583272,0.029431129778160647
Ville isolée (commune BFS) 1301,171,0.11717767518152825,0.04612451266735138,0.7362521389178444,0.06319467087422126,0.11472863089123916,0.04570322148690586,0.031841555009388255,0.025179265185981795
Ville isolée (commune BFS) 3851,66,0.18721992112191924,0.09004536028778451,0.4626343815699253,0.11509399802420359,0.3432815410254677,0.10960077451722128,0.006864156282687704,0.019058850156011914
Ville isolée (commune BFS) 6136,58,0.030911168919449453,0.04261831403494399,0.9687518123059168,0.04284256241599626,0.0,0.0,0.00033701877463371315,0.004519710411327621
Toutes les ville isolées,457,0.1003785029969569,0.02636106324966643,0.6771629759481455,0.041015775156738134,0.20910607193670272,0.03567427010270151,0.013352449118194906,0.010068717142651304
