Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo,Vélo (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Bulle,550,30.672830170150483,3.7682321687490163,1.829862266273903,0.2353671636171037,0.5805586578477384,0.2571320243010044,0.1789193910503632,0.15820881947723514,26.03046339385796,3.627949242366487,0.7502352848410936,0.4479179235113235,1.2793928049068592,1.025801034539248,0.02339837137256854,0.022185468306039954
Agglomération Fribourg,1362,36.90428941448969,2.9559425875006307,1.9883177255188327,0.15522189809853956,0.4098794659657457,0.18064457480767684,0.475995598059863,0.2379920073742323,24.465401664008336,2.315564290491437,1.8540280307291161,0.541761329351802,7.230716982088994,1.7761639295663096,0.4799499481187988,0.43871209721853155
Agglomération Olten-Zofingen,885,39.57225018839214,3.7985559338286574,1.97344979611268,0.21244281710787682,1.2653481325395897,0.3744916501290884,0.2501803704337808,0.11334386875804771,25.20285548128315,3.185914924378745,0.9896062471674721,0.2907697324074656,8.304187174245715,1.9742772593736175,1.5866229866097408,1.174146803694726
Agglomération Basel (CH),3240,31.18892923218907,1.8490547759687919,2.2138937269841494,0.10495970751935568,1.1509844292541802,0.14598421090844882,0.2422989207646963,0.11049817550418861,17.134428793449505,1.5082243476523247,2.6728630619837057,0.2483565902053262,7.249078351323777,1.0771855659927017,0.5253819484290586,0.31595693256718294
Agglomération Aarau,882,39.195488306512175,4.050396104340603,1.872631519717536,0.18846129782009194,1.0758150920962097,0.28893783847162546,0.5927092504141492,0.5679871708591757,24.383766253224564,3.223060022884943,0.9736942658271998,0.23295470454770534,8.273350689009344,2.0628974437700585,2.0235212362231723,1.5510286123555015
Agglomération La-Chaux-de-Fonds-Le Locle (CH),777,28.392366308082533,3.6589638250648147,2.1873621712768645,0.2641521217951628,0.18822358206857184,0.18943174594687243,0.9412604761094218,1.073318888314219,20.765219905751827,3.256037129329642,0.8012744040488876,0.26412494417774957,3.2408388601210847,1.4319112406270864,0.26818690870587836,0.202225102305178
Agglomération Delémont,620,35.45337385205937,4.506409651714714,1.8975649773805816,0.22448107705467316,0.6064794863986201,0.32624339039233563,0.10089099034591958,0.06744714346292792,23.030900646697017,3.291820477921338,1.193854614311904,0.49550498090155237,8.060794282873873,3.026515282165167,0.5628888540514493,0.6566610733264189
Agglomération Solothurn,917,40.04945657122433,3.7756574123311357,1.9162178099176985,0.21624076696661457,1.4902916381379196,0.31843019131049083,0.5772338577284758,0.310575878035282,25.96189868365341,3.2676391174327533,0.9188513047156299,0.3783087458412932,7.955551085229643,1.8867014030695655,1.2294121918415566,0.8773801575959211
Agglomération Zürich,7662,35.64677440846316,1.1676494140325404,2.212573403967079,0.06941356230296414,0.6833974787222071,0.0884069871919823,0.4524278318294645,0.1464245631437302,20.341225126713574,0.9162832886120863,2.0417362192600024,0.11490690251478163,9.090260176906485,0.7233728423359629,0.825154171064351,0.2515453171730044
Agglomération Baden-Brugg,917,37.04134291424663,3.535047899143199,2.087131542827966,0.18715490068105922,0.8850395941347013,0.2096614793851159,0.20593266914264655,0.19783055542705083,24.77351323612288,3.100487027428979,1.5111488963603783,0.293210917873134,7.450705667687188,2.0010374977537184,0.12787130797086754,0.09550025247776177
Agglomération Wohlen (AG),521,39.185534160973255,5.049199758482694,1.920774423368311,0.262822848065906,0.705268093646114,0.2994408749739722,0.4445223192704929,0.32386780308172985,28.925271249505734,4.50922009211156,0.7473070124739224,0.37199888169816675,5.936173851331967,2.060192075288595,0.5062172113767125,0.564921539657251
Agglomération Lenzburg,491,37.662223118815,4.646337405046668,1.9311854797298937,0.2477497197025645,0.7531485925550409,0.29438804340277186,0.9730596150898393,1.3528745790153933,21.37885010829363,3.3363374953174176,0.6331875656485323,0.25028454209621087,10.117070846134938,2.9246610272744467,1.875720911363127,1.6017848139149011
Agglomération Rapperswil-Jona / Rüti,871,42.887805716912325,3.8498172093057215,2.145998541077423,0.20590548361925345,1.0800807814085382,0.2903452958104914,0.4979297810661781,0.38973733584947734,23.128021917943798,2.901895643817079,1.5869671255701114,0.6918790635304036,14.099248861787638,2.743892039656508,0.34955870805864386,0.2935535774039848
Agglomération Wetzikon - Pfäffikon (ZH),744,35.8271837314265,3.6339047697854854,2.0796356948949715,0.22624095587788928,0.8250801959336727,0.28110218074377813,0.10570592558319321,0.08360205826028516,20.601467453801614,2.6863902927253034,0.9155039441461194,0.2195403052374584,10.184919108221571,2.2746033226872937,1.1148714088453566,0.9880256520727148
Agglomération Amriswil-Romanshorn,238,35.60317305733447,6.587035622251887,1.5468621508698595,0.37261340552951977,0.9438375797809998,0.4437427595117421,0.4483759227507388,0.4764592005805406,25.954481669840767,5.46473039812636,0.4213322630344519,0.4284652416303129,5.041046004907128,3.1579890442331133,1.2472374661505332,2.5771672272907704
Agglomération Schaffhausen (CH),681,36.85545819929676,4.553164424818634,2.1397064728540354,0.2591805922335081,0.6430348770573949,0.2985705807500151,0.789399803992401,0.7414259462343008,21.21385182301243,3.0876605477378565,1.9400641821730717,0.34394724829173373,8.61634821650097,2.801043061340451,1.513052823706462,1.876863484625764
Agglomération St. Gallen,1084,36.257546558167554,3.4527567412901603,2.410721722195605,0.19921855031301916,0.44766348874532275,0.15465716145258898,0.47640620833379543,0.42736414531746386,22.551385365865933,2.7194122482216527,1.7364400003011444,0.30897232703933764,8.265313919504864,2.225780529977146,0.36961585322088536,0.45326312958275516
Agglomération Heerbrugg (CH),603,37.30534593923316,4.833041943895694,1.5731296923006188,0.22454655545998198,1.7017875316221094,0.4322101929619876,0.6169311601751277,0.4403275534412919,28.774238161057454,4.562802723610233,0.40720181179484394,0.18719294933950145,3.712062513770156,1.5598369118391329,0.5199950685128477,0.45533980820440695
Agglomération Buchs (SG) (CH),224,38.4866001326237,7.830789782026168,1.462061582481998,0.3647161039699615,1.5796376700023063,0.6410784839303608,0.6348621875107114,0.5554947216397759,28.387382222360287,6.862462174018209,1.2480875930959028,0.6220407977197846,2.486344986945432,2.4684506037589857,2.6882238902270585,3.310591326771636
Agglomération Wil (SG),891,41.814360999851736,3.872376972138604,2.018503256532822,0.2151404459772838,0.7918933943950978,0.25488038065017987,0.655537700797114,0.31876099771516087,26.113582146218704,3.121690177470263,1.5386654537116526,0.755188972556215,9.517228974149782,2.3275862225034016,1.1789500740465666,0.9666590282365916
Agglomération St. Moritz,243,30.56299520962358,7.940581212201408,2.587941469746823,0.5529032564254948,0.7553505601895162,0.4510004709806501,0.007380810328521144,0.016585980327652954,24.09425555301676,7.371661213389901,0.8389514976866279,0.4217356766028339,1.5671644479036138,1.9052317474080607,0.7119508707517136,0.6868044599379564
Agglomération Chur,700,38.08593031484381,4.846253134897148,2.295318246608547,0.2700298190279866,1.0312913264113859,0.28719864076878904,0.6544581008759872,0.4539040430253711,24.10134556589609,3.679313492563154,1.2481998410407755,0.3134414923356054,7.970191977480638,3.124136057470094,0.7851252565303842,1.2620944666785903
