Agglomération;Echantillon;Mobilité douce;Mobilité douce (+/-);Transport individuel motorisé;Transport individuel motorisé (+/-);Transports publics;Transports publics (+/-);Autres;Autres (+/-)
Agglomération 5192;591;0.07962249344877358;0.020882279206103267;0.7068086134879911;0.03511587816081473;0.13774431893124245;0.02658470793459736;0.07582457413199292;0.020420163319049507
Agglomération 6711;336;0.059810143631115406;0.02426030844958061;0.658426611262064;0.0485173214985814;0.24405752868350972;0.04394319119926289;0.037705716423310776;0.019487613892207475
Agglomération 6248;258;0.06600129741795768;0.02898746741767755;0.7834488446672132;0.04808908075514192;0.14519212678674953;0.0411307558842897;0.0053577311280795185;0.008522849389068346
Agglomération 3271;275;0.08848206344229288;0.03211549625537362;0.8030011008135127;0.04497740311366871;0.10676307492968426;0.03492193321317112;0.0017537608145099424;0.004731604423225538
Agglomération 6153;277;0.06928111867997899;0.028611957885035188;0.7457315999231049;0.04906460846065723;0.14763126278095037;0.0399699672681187;0.03735601861596552;0.02136702266129472
Agglomération de taille K;11321;0.07447237213478138;0.004627225299878907;0.6809154111036589;0.008215383753971113;0.22717804564631447;0.007385012988898587;0.017434171115245253;0.0023067994476730098
Agglomération de taille M;16183;0.08004915949045799;0.004000386333571871;0.647801583381268;0.007041350108343554;0.2529385891679846;0.006408065383091995;0.01921066796028933;0.0020234866156594407
Agglomération de taille G;16933;0.09031241916236585;0.004130700147323316;0.5869695083536688;0.007095820604925957;0.30471202825254534;0.006633320119669044;0.01800604423142014;0.0019163170475541978
Toutes les agglomérations;44437;0.08407526232121913;0.0024686663528699247;0.623947536128146;0.004309199930610864;0.27362240401467897;0.00396602488875624;0.018354797535956015;0.0011941268436434236
Hors agglomérations;12653;0.05853021285466305;0.003913517184139359;0.7434467051716643;0.007280944463271181;0.1786957872301538;0.00638679801870846;0.019327294743518946;0.002295205513119762
Ville isolée (commune BFS) 306;48;0.052222553702716897;0.06021883820130467;0.70966339150481;0.12286473148057198;0.23811405479247325;0.11528893604115739;0.0;0.0
Ville isolée (commune BFS) 329;58;0.04244399062420052;0.049641735343394465;0.5477686309150211;0.12255631035760475;0.40405444665658563;0.12083145189577553;0.005732931804192573;0.018590739791004375
Ville isolée (commune BFS) 1301;135;0.07132326612560105;0.04153859122254226;0.6628734870686538;0.07629843817408397;0.23013039344240852;0.0679359177442547;0.03567285336333659;0.029935394790798448
Ville isolée (commune BFS) 3851;57;0.062337040577889274;0.06005232083962534;0.6833904038277332;0.11553931829006288;0.13773356535343995;0.08560003869448198;0.11653899024093761;0.07970079342663008
Ville isolée (commune BFS) 6136;200;0.06293551761689044;0.03220241173696231;0.6888781925102725;0.0613892320726541;0.248186289872837;0.057279572743818494;0.0;0.0
Toutes les ville isolées;498;0.0575111325622696;0.019564563228530087;0.6529740969735088;0.04000230395452129;0.25877592570095403;0.036803809649069895;0.030738844763267475;0.014505084297592797
