Agglomération,Echantillon,Total,Total (+/-),A pied,A pied (+/-),Vélo (incl. vélo électrique),Vélo (incl. vélo électrique) (+/-),Deux-roues motorisé,Deux-roues motorisé (+/-),Voiture,Voiture (+/-),Transports publics routiers,Transports publics routiers (+/-),Train,Train (+/-),Autres,Autres (+/-)
Agglomération Winterthur,980,37.676776584969076,3.216553770503698,1.9976760402791847,0.19308932431911616,1.5587693626332544,0.3363836264855232,0.1028309025192968,0.07211327437145058,21.94117148233525,2.73870302805384,1.209420228211929,0.1873139112661636,10.742600089666315,2.027067323334881,0.12430847932384695,0.08233542544212119
Agglomération Sion,519,38.017434714281755,5.575016392881399,1.803916217524318,0.2642409760850548,0.4607479995227031,0.2608511567452222,0.3300537292304592,0.2458971999006689,27.286405012255752,4.706095824111465,0.9141222866881663,0.39492546101353687,5.121975437192288,2.5364652868020783,2.1002140318680653,1.727035178251598
Agglomération Aarau,907,38.49658193424499,3.6887953305797097,1.756776480555481,0.20353684061830554,1.4208996182877847,0.3208472487454491,0.26147761883183945,0.22547613286502433,21.494731668570804,2.448217572205484,1.1051205737301248,0.2805901792624216,11.251557901102974,2.7412680553259796,1.2060180731659806,1.0604135777511539
Agglomération Solothurn,876,36.933731046498394,3.3670268052351293,1.6669119060788915,0.20101428755855233,1.2483585962215524,0.31858925561717866,0.1121301053492632,0.15480202695701076,24.757944681884073,2.736461241580988,0.9261536794220769,0.23089610424678172,8.01076855693178,2.1519439878403754,0.21146352061075863,0.16926970492384744
Agglomération Neuchâtel,1209,42.06996032717627,3.4343291963179103,2.0153061457350874,0.16999062952691169,0.7152770620605073,0.3058571359103516,0.5434855745242999,0.2958138994773465,29.625452771048426,3.066469122811852,1.6478771109539663,0.26605421190755346,6.880657140934546,1.8103738301566266,0.6419045219194414,0.3757797543553094
Agglomération Arbon-Rorschach (CH),627,38.05792037263991,4.33417121521332,1.6954934408436504,0.21656759114238228,1.0402042321271967,0.31578592511242043,0.46861240546402055,0.497324757713073,29.28597182194334,3.9554002872595886,0.9134002279908013,0.30724845415525126,3.9877118880924187,1.8149912127338856,0.6665263561784792,0.9141379140947343
Agglomération Luzern,1682,34.407737623708606,2.452764148377975,2.1890692000385905,0.16699217680856107,1.0324265947385516,0.222357009474858,0.2586394987836345,0.11822517736197759,20.36489074438954,1.9914409400749755,1.870813750219706,0.2445895115592931,7.647357899512771,1.3973810743630368,1.0445399360258079,0.5949203011191407
Agglomération Bulle,486,44.93678021225698,6.142477818623315,2.057332341802503,0.32833802424759373,0.506366418705784,0.35593780357447674,0.2376766214501474,0.36885945287313754,35.270443691257974,5.479208535671418,0.33429750241655193,0.2594042417633689,4.6651129905106545,2.287554847637743,1.8655506461133577,1.6258203397124902
Agglomération Lenzburg,478,42.80152570452057,5.351300398658753,1.7350588354235232,0.2652909423397322,1.208007934827081,0.3967551241684895,0.01649179302951636,0.03731260803154429,26.86000617519262,4.7014673706943855,0.6528857279884216,0.19443223608206642,12.155581292415777,3.2090454457220914,0.17349394564363327,0.1257714181963282
Agglomération Biel/Bienne,527,30.955696490365035,4.198398017463646,1.9846184512376226,0.2627421200238565,1.2960710564895666,0.46789690891259317,0.09099304807872402,0.07519438422097516,17.821971867141286,3.2153802804496396,0.8131188075432424,0.19463728319613344,8.440698438421641,2.9829450527660337,0.5082248214529494,0.4760256613677616
